fish,sex,familiarization,interval,time_in_central_corridor,preference_for_novel_object
female 01,F,3h,6gg,0.166666667,0.56
male 01,M,3h,6gg,0.266666667,0.545454545
female 02,F,3h,6gg,0.266666667,0.545454545
male 02,M,3h,6gg,0.233333333,0.47826087
female 03,F,3h,6gg,0.3,0.523809524
male 03,M,3h,6gg,0.2,0.395833333
female 04,F,3h,6gg,0.2,0.520833333
male 04,M,3h,6gg,0.2,0.708333333
female 05,F,1h,6gg,0.433333333,0.411764706
male 05,M,1h,6gg,0.283333333,0.627906977
female 06,F,1h,6gg,0.433333333,0.529411765
male 06,M,1h,6gg,0.233333333,0.47826087
female 07,F,1h,6gg,0.183333333,0.551020408
male 07,M,1h,6gg,0.183333333,0.448979592
female 08,F,1h,6gg,0.166666667,0.52
male 08,M,1h,6gg,0.166666667,0.4
female 09,F,1h,1gg,0.183333333,0.510204082
male 09,M,1h,1gg,0.2,0.541666667
female 10,F,1h,1gg,0.166666667,0.56
male 10,M,1h,1gg,0.016666667,1.0
female 11,F,1h,1gg,0.166666667,0.84
male 11,M,1h,1gg,0.183333333,0.489795918
male 12,M,1h,1gg,0.2,0.625
female 13,F,3h,1gg,0.283333333,0.581395349
male 13,M,3h,1gg,0.0,0.483333333
female 14,F,3h,1gg,0.233333333,0.52173913
male 14,M,3h,1gg,0.133333333,0.692307692
female 15,F,3h,1gg,0.2,0.541666667
male 15,M,3h,1gg,0.233333333,0.586956522
female 16,F,3h,1gg,0.183333333,0.448979592
male 16,M,3h,1gg,0.2,0.5625
